Date,Open,High,Low,Close,Adj Close,Volume
4/23/2020,128.19,128.38,127,127.06,125.8138,1917400
4/24/2020,127.85,127.85,125.6,126.35,125.1108,2381600
4/27/2020,126.97,127.07,124.78,124.99,123.7641,3017600
4/28/2020,125.6,126.73,125.34,126.55,125.3088,1554000
4/29/2020,126.97,128.04,126.41,127.36,126.1109,1265900
4/30/2020,127.25,128.04,126.4,126.5,125.2593,1611100
5/1/2020,126.78,127.35,126.45,127.06,125.8138,1323900
5/4/2020,127.12,127.12,126.4,127.07,125.8237,797100
5/5/2020,126.98,127.95,126.92,127.46,126.2099,888100
5/6/2020,127.6,128.12,127,127.9,126.6456,1658500
5/7/2020,128.15,128.52,127.96,128.17,126.9129,1976000
5/8/2020,128.38,128.82,128.17,128.56,127.2991,1806400
5/11/2020,128.5,128.75,128.12,128.28,127.0218,2264100
5/12/2020,128.6,128.6,127.64,127.64,126.3881,1089700
5/13/2020,127.76,128.37,127.14,127.68,126.4277,1689400
5/14/2020,127.21,127.68,126.5,127.28,126.0316,1334100
5/15/2020,126.9,127.54,126.23,127.01,125.7643,2179700
5/18/2020,127.81,128.15,127.21,127.66,126.4079,1480100
5/19/2020,127.39,128.07,127.32,127.98,126.7248,1905400
5/20/2020,127.99,128.06,124.96,125.69,124.4572,2901900
5/21/2020,125.3,126.62,123.93,126.36,125.1207,5007900
5/22/2020,126.79,126.88,124.87,125.07,123.8433,2420800
5/26/2020,125.12,126.2,125.12,125.37,124.1404,2848200
5/27/2020,125.74,127.58,125.57,127.54,126.2891,1754300
5/28/2020,127.8,128.61,127.43,127.82,126.5664,3328500
5/29/2020,127.66,128.38,127.35,128.13,126.8733,2285100
6/1/2020,127.52,128.77,127.52,128.5,127.2397,1086900
6/2/2020,128.67,128.75,111.27,117.03,115.8822,9558400
6/3/2020,117,117.68,112.45,114.24,113.1195,8830400
6/4/2020,113.27,115.22,112.5,114.53,113.4067,4265900
6/5/2020,124.05,124.19,120,121.99,120.7935,8127000
6/8/2020,122.35,123.5,121.51,122.18,120.9817,2704900
6/9/2020,124.05,125,123.74,124.56,123.3383,3003800
6/10/2020,121.62,123.38,120.82,121.05,119.8627,3132600
6/11/2020,120.42,121.56,119,119.47,118.2982,3188100
6/12/2020,120.23,120.5,118.21,119.12,117.9517,1563300
6/15/2020,118.25,120.34,118.11,120.1,118.9221,2327300
6/16/2020,120.95,121.47,120.15,120.76,119.5756,1900000
6/17/2020,121.31,121.87,120.52,121.49,120.2984,981400
6/18/2020,121.33,121.5,120.33,120.9,119.7142,1291900
6/19/2020,121.52,121.52,120.2,120.88,120.2714,2330200
6/22/2020,120.39,122,120.32,121.91,121.2962,1424100
6/23/2020,122.12,122.4,120.73,121.94,121.3261,1816600
6/24/2020,121.49,121.98,120.25,121.44,120.8286,2795800
6/25/2020,121.58,121.58,120.13,120.35,119.7441,1689500
6/26/2020,120.5,120.95,119.12,119.57,118.968,1887500
6/29/2020,119.72,120.91,119.62,120.31,119.7043,1207000
6/30/2020,120.99,122.26,120.74,121.94,121.3261,1877700
7/1/2020,121.83,123.3,120.5,122.23,121.6146,2282000
7/2/2020,122.26,122.74,121.75,122.22,121.6047,853200
7/6/2020,122.8,123.16,122.22,122.91,122.2912,1037600
7/7/2020,122.74,123,121.52,122.01,121.3957,926800
7/8/2020,121.6,122.42,120.53,121.58,120.9679,1031400
7/9/2020,122,122,120.64,120.99,120.3808,1169100
7/10/2020,120.52,121.57,120.49,121.3,120.6893,1475900
7/13/2020,121.54,121.85,120.63,121.17,120.5599,776000
7/14/2020,120.78,121.79,120.59,121.74,121.1271,739700
7/15/2020,122.46,122.91,121.55,122.5,121.8832,1217800
7/16/2020,122.18,122.59,121.53,122.02,121.4057,1208800
7/17/2020,122.69,122.69,121.13,121.75,121.137,1184300
7/20/2020,121.62,122.49,121.03,121.41,120.7987,1206500
7/21/2020,121.71,122.58,121.55,122.25,121.6345,612600
7/22/2020,122.1,122.36,121.48,121.65,121.0375,805500
7/23/2020,121.75,122.09,121.07,121.61,120.9977,940800
7/24/2020,121.79,121.96,120.82,121.41,120.7987,1354000
7/27/2020,121.59,126.04,121.4,125,124.3707,4245500
7/28/2020,125.65,125.8,124.65,124.95,124.3209,974000
7/29/2020,125.5,125.5,124.57,124.9,124.2712,740900
7/30/2020,124.69,125.2,124.5,124.65,124.0224,418200
7/31/2020,124.72,125.41,124.5,125.36,124.7288,711100
8/3/2020,124.87,125.78,124.45,125.47,124.8383,999500
8/4/2020,125.95,125.95,125.07,125.52,124.888,1075100
8/5/2020,125.71,125.74,125,125.21,124.5796,623800
8/6/2020,125.19,125.32,124.87,125.03,124.4005,768500
8/7/2020,124.92,125.1,124.62,124.82,124.1916,1265400
8/10/2020,124.74,125.78,124.74,125.18,124.5498,833200
8/11/2020,125.45,125.74,124.59,124.98,124.3508,1314800
8/12/2020,124.92,125.33,124.6,125,124.3707,555000
8/13/2020,124.79,125.06,124,124.8,124.1717,757400
8/14/2020,124.77,125.07,124.63,125,124.3707,728700
8/17/2020,125,125.43,124.81,125.42,124.7885,1345300
8/18/2020,125.55,126.37,125.2,126.14,125.5049,854900
8/19/2020,126.02,127.44,126,127.25,126.6093,938400
8/20/2020,126.97,127.33,126.55,126.8,126.1616,722900
8/21/2020,126.33,126.55,125.81,126.01,125.3756,1117300
8/24/2020,126.1,130,124.75,127.03,126.3904,2566500
8/25/2020,122.26,123.75,121.7,121.99,121.3758,3603800
8/26/2020,122.07,122.43,120.99,121.52,120.9082,2176400
8/27/2020,123.22,124.32,123.07,123.23,122.6096,1578500
8/28/2020,123.81,124.61,123.54,123.88,123.2563,967000
8/31/2020,123.73,123.8,122.04,122.5,121.8832,1280800
9/1/2020,122,123.51,122,123.49,122.8683,843000
9/2/2020,123.52,123.75,121.28,122.39,121.7738,1043900
9/3/2020,122.63,122.77,121.46,122.17,121.5549,674100
9/4/2020,122.16,122.55,121.25,121.79,121.1768,1884600
9/8/2020,121.82,122.66,121.33,121.81,121.1967,1412100
9/9/2020,109.57,115.15,108.11,113.96,113.3862,11457400
9/10/2020,114.06,116,113.44,114.36,113.7842,3675100
9/11/2020,114.25,114.75,113.42,113.81,113.237,2922800
9/14/2020,113.5,114.04,112.77,113.19,112.6201,1886800
9/15/2020,113.32,114.14,112.86,114.05,113.4758,1203100
9/16/2020,114.49,116.15,114.05,115.86,115.2767,2507100
9/17/2020,115.81,116.3,114.8,115.2,114.62,1643800
9/18/2020,114.65,116.99,114.65,116.26,116.26,2618200
